Source,Target,Label,ID,Type,Weight
13,54,'bol',,,
2,[],'bol',,,
8,61,'bol',,,
17,71,'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,58,'bol',,,
18,57,'bol',,,
24,41,'bol',,,
21,69,'bol',,,
7,43,'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,45,'bol',,,
10,71,'bol',,,
3,51,'bol',,,
1,58,'bol',,,
6,67,'bol',,,
5,38,'bol',,,
20,[],'bol',,,
14,32,'bol',,,
13,67,'bol',,,
2,[],'bol',,,
8,63,'bol',,,
17,75,'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,55,'bol',,,
24,59,'bol',,,
21,62,'bol',,,
7,58,'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,45,'bol',,,
10,45,'bol',,,
3,52,'bol',,,
1,43,'bol',,,
6,62,'bol',,,
5,38,'bol',,,
20,[],'bol',,,
14,62,'bol',,,
13,62,'bol',,,
2,[],'bol',,,
8,72,'bol',,,
17,56,'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,42,'bol',,,
24,73,'bol',,,
21,38,'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,38,'bol',,,
10,45,'bol',,,
3,[],'bol',,,
1,43,'bol',,,
6,62,'bol',,,
5,45,'bol',,,
20,[],'bol',,,
14,38,'bol',,,
13,54,'bol',,,
2,[],'bol',,,
8,55,'bol',,,
17,44,'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,38,'bol',,,
24,46,'bol',,,
21,45,'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,38,'bol',,,
10,40,'bol',,,
3,[],'bol',,,
1,58,'bol',,,
6,29,'bol',,,
5,29,'bol',,,
20,[],'bol',,,
14,31,'bol',,,
13,62,'bol',,,
2,[],'bol',,,
8,51,'bol',,,
17,60,'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,72,'bol',,,
24,51,'bol',,,
21,45,'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,45,'bol',,,
10,71,'bol',,,
3,[],'bol',,,
1,[],'bol',,,
6,[],'bol',,,
5,[],'bol',,,
20,[],'bol',,,
14,32,'bol',,,
13,50,'bol',,,
2,[],'bol',,,
8,52,'bol',,,
17,46,'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,55,'bol',,,
24,52,'bol',,,
21,38,'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,45,'bol',,,
10,[],'bol',,,
3,[],'bol',,,
1,[],'bol',,,
6,[],'bol',,,
5,[],'bol',,,
20,[],'bol',,,
14,38,'bol',,,
13,48,'bol',,,
2,[],'bol',,,
8,[],'bol',,,
17,[],'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,51,'bol',,,
24,[],'bol',,,
21,[],'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,[],'bol',,,
10,[],'bol',,,
3,[],'bol',,,
1,[],'bol',,,
6,[],'bol',,,
5,[],'bol',,,
20,[],'bol',,,
14,[],'bol',,,
13,50,'bol',,,
2,[],'bol',,,
8,[],'bol',,,
17,[],'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,52,'bol',,,
24,[],'bol',,,
21,[],'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,[],'bol',,,
10,[],'bol',,,
3,[],'bol',,,
1,[],'bol',,,
6,[],'bol',,,
5,[],'bol',,,
20,[],'bol',,,
14,[],'bol',,,
13,58,'bol',,,
2,[],'bol',,,
8,[],'bol',,,
17,[],'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,[],'bol',,,
24,[],'bol',,,
21,[],'bol',,,
7,[],'bol',,,
4,[],'bol',,,
12,[],'bol',,,
9,[],'bol',,,
16,[],'bol',,,
22,[],'bol',,,
23,[],'bol',,,
10,[],'bol',,,
3,[],'bol',,,
1,[],'bol',,,
6,[],'bol',,,
5,[],'bol',,,
20,[],'bol',,,
14,[],'bol',,,
13,[],'bol',,,
2,[],'bol',,,
8,[],'bol',,,
17,[],'bol',,,
15,[],'bol',,,
11,[],'bol',,,
19,[],'bol',,,
18,[],'bol',,,
24,[],'bol',,,
